code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
DOC-10;CL-003;ИП Кузнецов Д.А.;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Базовый
ACC-10;CL-003;ИП Кузнецов Д.А.;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;B;60;checklists/close-month.md;ФЗ-402 ст. 9;Базовый
DOC-20;CL-003;ИП Кузнецов Д.А.;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Базовый
DOC-40;CL-003;ИП Кузнецов Д.А.;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Базовый
ACC-20;CL-003;ИП Кузнецов Д.А.;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;120;checklists/close-month.md;ФЗ-402 ст. 9;Базовый
ACC-30;CL-003;ИП Кузнецов Д.А.;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Базовый
DOC-30;CL-003;ИП Кузнецов Д.А.;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Базовый
ACC-50;CL-003;ИП Кузнецов Д.А.;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;B;60;checklists/close-month.md;Регламент агентства;Базовый
ACC-70;CL-003;ИП Кузнецов Д.А.;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;B;30;checklists/ens.md;НК РФ ст. 11.3;Базовый
ACC-60;CL-003;ИП Кузнецов Д.А.;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Базовый
