code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
DOC-10;CL-008;ИП Новиков С.С.;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-10;CL-008;ИП Новиков С.С.;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-05;2026-10-08;;B;60;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-20;CL-008;ИП Новиков С.С.;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Стандарт
DOC-40;CL-008;ИП Новиков С.С.;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-20;CL-008;ИП Новиков С.С.;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;B;120;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
ACC-30;CL-008;ИП Новиков С.С.;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;B;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Стандарт
DOC-30;CL-008;ИП Новиков С.С.;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Стандарт
ACC-50;CL-008;ИП Новиков С.С.;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-12;2026-10-15;;B;60;checklists/close-month.md;Регламент агентства;Стандарт
ACC-70;CL-008;ИП Новиков С.С.;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Лебедева К.М.;2026-10-13;2026-10-16;;B;30;checklists/ens.md;НК РФ ст. 11.3;Стандарт
ACC-60;CL-008;ИП Новиков С.С.;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Стандарт
CLI-10;CL-008;ИП Новиков С.С.;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;30;checklists/client-report.md;Договор;Стандарт
REP-KUDIR;CL-008;ИП Новиков С.С.;Актуализация и проверка КУДиР;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;C;45;;Приказ ФНС ЕД-7-3/816;Стандарт
REP-STAT;CL-008;ИП Новиков С.С.;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Стандарт
ACC-90;CL-008;ИП Новиков С.С.;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;A;60;;ПП РФ 1108;Стандарт
TAX-USN-N;CL-008;ИП Новиков С.С.;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Стандарт
CLI-30;CL-008;ИП Новиков С.С.;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-19;2026-10-22;;B;20;;Договор;Стандарт
DOC-50;CL-008;ИП Новиков С.С.;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Стандарт
TAX-USN-P;CL-008;ИП Новиков С.С.;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Стандарт
QC-20;CL-008;ИП Новиков С.С.;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Лебедева К.М.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Стандарт
DOC-10;CL-007;ООО «Бар Панорама»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-007;ООО «Бар Панорама»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-05;2026-10-08;;B;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
