code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
HR-10;CL-005;ИП Морозова Е.В.;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;B;20;checklists/payroll.md;ТК РФ ст. 91;Стандарт
TAX-NDFL-N2;CL-005;ИП Морозова Е.В.;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
TAX-NDFL-P2;CL-005;ИП Морозова Е.В.;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
PAY-20;CL-005;ИП Морозова Е.В.;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-05;2026-10-08;;A;90;checklists/payroll.md;ТК РФ ст. 136;Стандарт
PAY-30;CL-005;ИП Морозова Е.В.;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-06;2026-10-09;;A;30;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-SFR-P;CL-005;ИП Морозова Е.В.;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Стандарт
REP-6NDFL;CL-005;ИП Морозова Е.В.;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Стандарт
REP-RSV;CL-005;ИП Морозова Е.В.;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Стандарт
REP-EFS2;CL-005;ИП Морозова Е.В.;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Стандарт
HR-30;CL-005;ИП Морозова Е.В.;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Стандарт
TAX-NDFL-N1;CL-005;ИП Морозова Е.В.;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
HR-20;CL-005;ИП Морозова Е.В.;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Стандарт
PAY-10;CL-005;ИП Морозова Е.В.;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;A;60;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-NDFL-P1;CL-005;ИП Морозова Е.В.;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SV-P;CL-005;ИП Морозова Е.В.;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Стандарт
HR-10;CL-010;ООО «Импорт Трейд»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;B;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-010;ООО «Импорт Трейд»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-010;ООО «Импорт Трейд»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-010;ООО «Импорт Трейд»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-010;ООО «Импорт Трейд»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-010;ООО «Импорт Трейд»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-010;ООО «Импорт Трейд»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-010;ООО «Импорт Трейд»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-010;ООО «Импорт Трейд»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
